NAME,MODEL,MYCT,MMIN,MMAX,MAVG,CACH,CHMIN,CHMAX,CHAVG,PRP,ERP
nas,as/8050,40,8000,32000,20000,64,8,24,16.00,277,266
nas,as/8060,35,8000,32000,20000,64,8,24,16.00,370,270
nas,as/9000-dpc,38,16000,32000,24000,128,16,32,24.00,510,426
nas,as/9000-n,48,4000,24000,14000,32,8,24,16.00,214,151
nas,as/9040,38,8000,32000,20000,64,8,24,16.00,326,267
nas,as/9060,30,16000,32000,24000,256,16,24,20.00,510,603
ncr,v8535:ii,112,1000,1000,1000,0,1,4,2.50,8,19
ncr,v8545:ii,84,1000,2000,1500,0,1,6,3.50,12,21
ncr,v8555:ii,56,1000,4000,2500,0,1,6,3.50,17,26
ncr,v8565:ii,56,2000,6000,4000,0,1,8,4.50,21,35
ncr,v8565:ii-e,56,2000,8000,5000,0,1,8,4.50,24,41
ncr,v8575:ii,56,4000,8000,6000,0,1,8,4.50,34,47
ncr,v8585:ii,56,4000,12000,8000,0,1,8,4.50,42,62
ncr,v8595:ii,56,4000,16000,10000,0,1,8,4.50,46,78
ncr,v8635,38,4000,8000,6000,32,16,32,24.00,51,80
ncr,v8650,38,4000,8000,6000,32,16,32,24.00,116,80
ncr,v8655,38,8000,16000,12000,64,4,8,6.00,100,142
ncr,v8665,38,8000,24000,16000,160,4,8,6.00,140,281
ncr,v8670,38,4000,16000,10000,128,16,32,24.00,212,190
nixdorf,8890/30,200,1000,2000,1500,0,1,2,1.50,25,21
nixdorf,8890/50,200,1000,4000,2500,0,1,4,2.50,30,25
nixdorf,8890/70,200,2000,8000,5000,64,1,5,3.00,41,67
perkin-elmer,3205,250,512,4000,2256,0,1,7,4.00,25,24
perkin-elmer,3210,250,512,4000,2256,0,4,7,5.50,50,24
perkin-elmer,3230,250,1000,16000,8500,1,1,8,4.50,50,64
prime,50-2250,160,512,4000,2256,2,1,5,3.00,30,25
prime,50-250-ii,160,512,2000,1256,2,3,8,5.50,32,20
prime,50-550-ii,160,1000,4000,2500,8,1,14,7.50,38,29
prime,50-750-ii,160,1000,8000,4500,16,1,14,7.50,60,43
prime,50-850-ii,160,2000,8000,5000,32,1,13,7.00,109,53
siemens,7.521,240,512,1000,756,8,1,3,2.00,6,19
siemens,7.531,240,512,2000,1256,8,1,5,3.00,11,22
siemens,7.536,105,2000,4000,3000,8,3,8,5.50,22,31
siemens,7.541,105,2000,6000,4000,16,6,16,11.00,33,41
siemens,7.551,105,2000,8000,5000,16,4,14,9.00,58,47
siemens,7.561,52,4000,16000,10000,32,4,12,8.00,130,99
siemens,7.865-2,70,4000,12000,8000,8,6,8,7.00,75,67
siemens,7.870-2,59,4000,12000,8000,32,6,12,9.00,113,81
siemens,7.872-2,59,8000,16000,12000,64,12,24,18.00,188,149
siemens,7.875-2,26,8000,24000,16000,32,8,16,12.00,173,183
siemens,7.880-2,26,8000,32000,20000,64,12,16,14.00,248,275
siemens,7.881-2,26,8000,32000,20000,128,24,32,28.00,405,382
sperry,1100/61-h1,116,2000,8000,5000,32,5,28,16.50,70,56
sperry,1100/81,50,2000,32000,17000,24,6,26,16.00,114,182
sperry,1100/82,50,2000,32000,17000,48,26,52,39.00,208,227
sperry,1100/83,50,2000,32000,17000,112,52,104,78.00,307,341
sperry,1100/84,50,4000,32000,18000,112,52,104,78.00,397,360
sperry,1100/93,30,8000,64000,36000,96,12,176,94.00,915,919
sperry,1100/94,30,8000,64000,36000,128,12,176,94.00,1150,978
sperry,80/3,180,262,4000,2131,0,1,3,2.00,12,24
sperry,80/4,180,512,4000,2256,0,1,3,2.00,14,24
sperry,80/5,180,262,4000,2131,0,1,3,2.00,18,24
sperry,80/6,180,512,4000,2256,0,1,3,2.00,21,24
sperry,80/8,124,1000,8000,4500,0,1,8,4.50,42,37
sperry,90/80-model-3,98,1000,8000,4500,32,2,8,5.00,46,50
sratus,32,125,2000,8000,5000,0,2,14,8.00,52,41
wang,vs-100,480,512,8000,4256,32,0,0,0.00,67,47
wang,vs-90,480,1000,4000,2500,0,0,0,0.00,45,25
